# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53562,4.73496851183e-05,377694766.092,0.00049757396814,5.10199042667e-05,5.84149251868,7.12613886832e-05,0.000160275838986,7.5161203593e-20,5.93180683435e-08,6.09790585362e-09,0.000688880616666,8.46213178941e-09,1.90277910572e-08
53563,4.82103385872e-05,239906520.529,0.000496364224289,5.08902708124e-05,5.82748750444,7.10900779116e-05,0.000159897520802,4.79144948022e-20,5.93762774196e-08,6.10317191028e-09,0.000689695325632,8.47109538141e-09,1.90488030139e-08
53564,4.90892081996e-05,171005241.032,0.000494518085621,5.06973260593e-05,5.80627141758,7.08267877589e-05,0.000159310740763,3.44403989532e-20,5.94110399536e-08,6.10630298459e-09,0.000690229622343,8.47644874714e-09,1.90615232541e-08
53565,4.99862476466e-05,128523205.651,0.000492881297786,5.05261418249e-05,5.78759036242,7.05930787774e-05,0.00015878954733,2.60494904141e-20,5.94557491736e-08,6.11045358323e-09,0.000690905661897,8.48324759311e-09,1.90773881307e-08
53566,5.10892308141e-05,98350585.8307,0.00048711698272,4.99336728221e-05,5.72106007925,6.97683231224e-05,0.000156938596143,2.04751772947e-20,5.94779260311e-08,6.11237912621e-09,0.000691326688365,8.48664956651e-09,1.90856195558e-08
53567,5.22323985647e-05,84755903.111,0.000481010575298,4.93073140766e-05,5.65079177226,6.88944825324e-05,0.000154976774585,1.78641351387e-20,5.94680831768e-08,6.11126095864e-09,0.000691360357499,8.48524287293e-09,1.90829525297e-08
53568,5.36914956432e-05,84129508.5761,0.000471187913274,4.83064307125e-05,5.53550418036,6.74790004919e-05,0.000151796053826,1.82400217165e-20,5.96891214441e-08,6.13240598442e-09,0.000694419517291,8.51837256108e-09,1.91585527249e-08
53569,5.51898980716e-05,322056936.869,0.000462497514023,4.7419998904e-05,5.43336685164,6.6223001349e-05,0.000148989002526,7.04305859919e-20,5.9824873304e-08,6.14502386704e-09,0.00069638853782,8.53851758158e-09,1.92067472238e-08
53570,5.67128629519e-05,473645170.579,0.000459666913908,4.71200951215e-05,5.40132784912,6.58169960633e-05,0.000148101366052,1.03273186685e-19,5.98994112469e-08,6.15136050193e-09,0.000697566980101,8.54963837766e-09,1.92351301108e-08
53571,5.85618067614e-05,306673880.789,0.000441448534854,4.52523402113e-05,5.19059863882,6.32121227327e-05,0.000142252605762,7.10186561481e-20,5.98340860132e-08,6.14435238794e-09,0.000697073501241,8.54023508172e-09,1.92158473708e-08
53572,6.0800835836e-05,246350991.712,0.000446849669923,4.57946695187e-05,5.25672888396,6.39867343981e-05,0.000144013788767,5.63903095323e-20,5.99560818945e-08,6.15530731543e-09,0.000699109990437,8.5587285427e-09,1.92599363049e-08
53573,6.33849855051e-05,228581396.044,0.000430687757884,4.41364454096e-05,5.07173375921,6.16740470812e-05,0.000138827706145,5.43411631752e-20,5.99260768955e-08,6.15167885311e-09,0.000699365996508,8.55436099976e-09,1.92528822699e-08
53574,6.62722747712e-05,247109944.479,0.000417429950542,4.27801295401e-05,4.91962068929,5.97669622579e-05,0.000134557982499,6.11495058601e-20,6.01251066564e-08,6.17003815625e-09,0.00070272104053,8.58408080956e-09,1.93238886673e-08
53575,6.93770296809e-05,422323921.131,0.000409821170339,4.19961447592e-05,4.83502710228,5.86720759327e-05,0.000132128814019,1.07015589145e-19,6.03273694272e-08,6.18820500331e-09,0.000706228116239,8.61430760747e-09,1.93978853926e-08
53576,7.25377989971e-05,475957272.719,0.000408297722586,4.18260466859e-05,4.82320299568,5.84542623317e-05,0.00013167796986,1.20643373654e-19,6.04196903229e-08,6.19548414188e-09,0.000708413833097,8.62820969524e-09,1.94351848785e-08
53577,7.57443089717e-05,440307083.787,0.000414963645516,4.24938248381e-05,4.90867631111,5.9407453074e-05,0.000133865344987,1.10679939897e-19,6.05188925425e-08,6.20358189995e-09,0.00071082790054,8.64295071716e-09,1.94744054579e-08
53578,7.90875392507e-05,443470783.004,0.00040530150481,4.1499972423e-05,4.80227231702,5.80170036929e-05,0.000130776182789,1.15057032055e-19,6.06491551286e-08,6.21482139417e-09,0.000713819182492,8.66186313263e-09,1.95242757885e-08
53579,8.25657059242e-05,529687823.445,0.000398880436297,4.08350414651e-05,4.7340649136,5.708799749e-05,0.000128732931518,1.40400193026e-19,6.09056359816e-08,6.23794617537e-09,0.000718568455243,8.69952794206e-09,1.96177276714e-08
53580,8.6060977237e-05,605706442.658,0.000399100156165,4.08444299703e-05,4.74617684752,5.71156057812e-05,0.000128849310812,1.59998389671e-19,6.09372403393e-08,6.23923991578e-09,0.00072050401905,8.70366926237e-09,1.96354962875e-08
53581,8.95622693208e-05,579615774.219,0.000386159864262,3.9512282848e-05,4.60280675056,5.5257110977e-05,0.000124713433532,1.59082388489e-19,6.09418464739e-08,6.23810697844e-09,0.000722218201089,8.70314612496e-09,1.96437243912e-08
53582,9.31994032075e-05,614759290.879,0.000381123116501,3.89889423083e-05,4.55331211203,5.45221895254e-05,0.000123123583419,1.72644418618e-19,6.1020500638e-08,6.24416560145e-09,0.000725037242346,8.71267928598e-09,1.96769969264e-08
53583,9.68134976773e-05,667162250.476,0.000375211736395,3.83754125495e-05,4.4936977228,5.3661583762e-05,0.000121253826276,1.91573979416e-19,6.11383838013e-08,6.2540108185e-09,0.0007284236887,8.72766258899e-09,1.97235906437e-08
53584,0.00010042931516,723624731.385,0.000379411859326,3.87967766865e-05,4.55391556652,5.42377777542e-05,0.00012263900542,2.08309570121e-19,6.12958750126e-08,6.26775588633e-09,0.000732341184493,8.74766599515e-09,1.97832074075e-08
53585,0.000104070556842,744510529.8,0.000366495850391,3.74709957728e-05,4.40950681785,5.23739541956e-05,0.000118495519219,2.23346929277e-19,6.14532189052e-08,6.28135816752e-09,0.000736316986719,8.76847800346e-09,1.98432410304e-08
53586,0.00010763054999,756657882.833,0.000365348686784,3.73437266327e-05,4.40638909614,5.21962530769e-05,0.000118161265757,2.28018243584e-19,6.14765224847e-08,6.28205838894e-09,0.000738518472326,8.76953513601e-09,1.98574799824e-08
53587,0.000111066974986,741351000.115,0.0003608278197,3.68737111447e-05,4.36210853116,5.15334110865e-05,0.00011673052621,2.31226605479e-19,6.15032400506e-08,6.28329216893e-09,0.000740735636157,8.77032435384e-09,1.98720883537e-08
53588,0.000114415262612,774668228.045,0.000362194404837,3.7004816101e-05,4.38859337732,5.17066679974e-05,0.000117200907877,2.4404844577e-19,6.15332654509e-08,6.28499941606e-09,0.000742974235696,8.77074902873e-09,1.98872220808e-08
53589,0.000117710885364,820992420.245,0.000360899760089,3.68670201976e-05,4.38263348252,5.14940523672e-05,0.000116803953376,2.64067820993e-19,6.1609454272e-08,6.29134435151e-09,0.00074582760209,8.77705653256e-09,1.99174731018e-08
53590,0.000121003985599,822308936.558,0.000354755244722,3.62366838755e-05,4.31734015284,5.05912372271e-05,0.000114833553478,2.75299074757e-19,6.176960763e-08,6.30584479927e-09,0.00074979038813,8.79612343748e-09,1.99761449781e-08
53591,0.000124264859633,800115213.789,0.000348366802483,3.55796432633e-05,4.24900836967,4.96597703044e-05,0.000112787761303,2.75681734534e-19,6.17831392059e-08,6.3061465035e-09,0.000751786476315,8.79410443475e-09,1.99849667127e-08
53592,0.000127440825934,795736501.424,0.000351358670192,3.5880022662e-05,4.29276133331,5.00654660005e-05,0.000113770803261,2.81351111831e-19,6.18062184153e-08,6.3076061599e-09,0.00075375919217,8.79297872469e-09,1.9996011464e-08
53593,0.000130561928974,777820854.355,0.000349192587016,3.56557573151e-05,4.2743961944,4.97327876015e-05,0.000113084178541,2.89396802753e-19,6.18147810838e-08,6.30781072013e-09,0.000755556301282,8.78900299069e-09,2.00017698303e-08
53594,0.000133650474147,793454328.353,0.00034296567054,3.50185213928e-05,4.20650924936,4.88178239756e-05,0.00011107988459,3.05243255747e-19,6.18471819995e-08,6.31044112201e-09,0.000757689577194,8.78775927349e-09,2.00151824751e-08
53595,0.000136714416445,785823286.943,0.000348920397133,3.56208961038e-05,4.28670237365,4.96366149936e-05,0.000113018238086,3.10853097997e-19,6.19461308604e-08,6.31949211772e-09,0.000760597889892,8.79647121472e-09,2.0050771704e-08
53596,0.000139803307435,767226974.804,0.000342299563643,3.49445665598e-05,4.2129771892,4.86658649171e-05,0.000110880058697,3.15982483736e-19,6.21093983679e-08,6.3348287603e-09,0.000764458212561,8.81469433192e-09,2.01081643067e-08
53597,0.000142956635354,704847198.249,0.000348832205509,3.5608688299e-05,4.29758759562,4.95777163569e-05,0.000112996596598,2.98760406664e-19,6.227475417e-08,6.35033402524e-09,0.000768105907863,8.83519637484e-09,2.01660284012e-08
53598,0.000146108782624,667026674.521,0.000337151698416,3.44171357477e-05,4.16255207915,4.78982116642e-05,0.000109224558536,2.87942742969e-19,6.22667357014e-08,6.3490497175e-09,0.000769728002871,8.83020695546e-09,2.01656146706e-08
53599,0.000149180195486,623219299.492,0.000337646985553,3.44649944913e-05,4.1740637064,4.79544041725e-05,0.000109390037436,2.82834932636e-19,6.22853718693e-08,6.35045964782e-09,0.000771426008784,8.82925197704e-09,2.01732551887e-08
53600,0.00015221026891,588853986.544,0.000333646811809,3.40574922713e-05,4.12896738291,4.73740651454e-05,0.000108095175116,2.85812744384e-19,6.22912502036e-08,6.35088953653e-09,0.00077288089041,8.82595949943e-09,2.01759310313e-08
53601,0.000155217072569,582893552.357,0.000328755574202,3.35575690539e-05,4.07461320829,4.66597238741e-05,0.000106513915887,2.94302409982e-19,6.23084123857e-08,6.35241430585e-09,0.000774580959354,8.82344777236e-09,2.018222939e-08
53602,0.000158206019956,570289074.059,0.000327974135512,3.34779536759e-05,4.06793330325,4.6535403377e-05,0.000106257806088,3.01845764457e-19,6.2325927917e-08,6.35419896949e-09,0.000776043980426,8.82108790802e-09,2.01878241377e-08
53603,0.000161185371844,558723356.017,0.000327881436902,3.34700300411e-05,4.06735508999,4.65131774976e-05,0.000106218569995,3.0954148154e-19,6.23451246913e-08,6.35634697914e-09,0.000777365090307,8.81888492451e-09,2.01932376574e-08
53604,0.000164738470527,568506136.995,0.000320486170541,3.27187149898e-05,3.98048533109,4.54411698757e-05,0.000103816486628,3.29516204806e-19,6.2361353319e-08,6.35870427608e-09,0.000779105646517,8.81363044474e-09,2.01965922819e-08
53605,0.000168224561002,546338486.992,0.000319243786753,3.25960834907e-05,3.96537225694,4.52542413691e-05,0.00010340068231,3.33562060995e-19,6.23761476501e-08,6.36116291652e-09,0.000780441021288,8.80909044289e-09,2.01986193761e-08
53606,0.000171652333337,539828877.385,0.000314932007274,3.21598700235e-05,3.91332823122,4.46275290441e-05,0.00010199087639,3.40489024924e-19,6.24004622647e-08,6.36456401081e-09,0.000782023289797,8.80532557709e-09,2.0203648538e-08
53607,0.000175049556365,504578619.867,0.000311945641591,3.18604371137e-05,3.87508468241,4.41990530303e-05,0.000101008654056,3.41515772281e-19,6.24821905679e-08,6.37366408696e-09,0.000784099319512,8.81107263459e-09,2.02278270816e-08
53608,0.000178447174694,477660013.791,0.00031068300343,3.17347072634e-05,3.86032347012,4.40102176062e-05,0.000100588018815,3.26336417901e-19,6.24991109744e-08,6.37624304413e-09,0.000785374043732,8.80814047741e-09,2.02304962941e-08
53609,0.000181791722798,457758722.301,0.000313137728267,3.19887813311e-05,3.88689527994,4.43621589178e-05,0.000101364956208,3.23877866245e-19,6.2519019391e-08,6.37925627849e-09,0.000786281661853,8.80671266694e-09,2.0233431599e-08
53610,0.000185125190142,433552446.535,0.000316514423956,3.23618504541e-05,3.9298723856,4.48484233022e-05,0.000102446020999,3.19688136282e-19,6.25536181487e-08,6.3851345744e-09,0.000787537235064,8.80796584911e-09,2.02413711834e-08
53611,0.000188417682694,436054459.979,0.000310011584572,3.1702097845e-05,3.85154866387,4.39127261156e-05,0.000100329166215,3.24573586295e-19,6.25697903111e-08,6.38784795374e-09,0.000788903171199,8.80412027108e-09,2.02430252028e-08
53612,0.000191700129097,428141543.645,0.000313425581149,3.205335112e-05,3.88909136481,4.44023102216e-05,0.000101414741674,3.24314843873e-19,6.26411770407e-08,6.39596612729e-09,0.000790328344986,8.81062225962e-09,2.02626849145e-08
53613,0.000195629515636,415710652.681,0.000305710304449,3.12708174438e-05,3.79532362136,4.32980273291e-05,9.89045445725e-05,3.22780669648e-19,6.2658389798e-08,6.39936782368e-09,0.000791702136316,8.80694466555e-09,2.02632102449e-08
53614,0.000199464436473,399324695.946,0.000305779529365,3.12819867567e-05,3.79149977333,4.33148492477e-05,9.89063737542e-05,3.2203788103e-19,6.27130458037e-08,6.40642140004e-09,0.000793014813926,8.81053390202e-09,2.02757973227e-08
53615,0.000203244526136,380101691.776,0.000307298210729,3.14405448487e-05,3.80603356436,4.35365558593e-05,9.93784597684e-05,3.13359814328e-19,6.27372720677e-08,6.41040145258e-09,0.000793807430128,8.81044158619e-09,2.02783070704e-08
53616,0.000206966552274,370866444.024,0.00030467299095,3.11791339218e-05,3.76904542236,4.31720092122e-05,9.85074274137e-05,3.14603250984e-19,6.27578711969e-08,6.41427382001e-09,0.000794690366566,8.80909570393e-09,2.02791275375e-08
53617,0.000210645922815,368695780.957,0.000299295700352,3.06350009988e-05,3.70195134812,4.24050517681e-05,9.6750084652e-05,3.1830563583e-19,6.2857441803e-08,6.42571717947e-09,0.000797109062892,8.81780124344e-09,2.03067861573e-08
53618,0.000214321099928,352484422.223,0.000291461897794,2.98410227933e-05,3.6058674829,4.12892758789e-05,9.42013601165e-05,3.10015054189e-19,6.28705804402e-08,6.42871344801e-09,0.000798498306508,8.81414049284e-09,2.0305525161e-08
53619,0.000217950724701,334317157.181,0.000300572011471,3.07722678447e-05,3.70914806565,4.26033980895e-05,9.71279755913e-05,3.01147227867e-19,6.28968605728e-08,6.43254949824e-09,0.000798450537741,8.81807053174e-09,2.03089288567e-08
53620,0.000221555961644,331920820.11,0.000298266243507,3.05404729549e-05,3.67882414915,4.22788590964e-05,9.63680590027e-05,3.02474922864e-19,6.29136407686e-08,6.43574866341e-09,0.000799244957745,8.817104234e-09,2.03088733042e-08
53621,0.000225867272937,323350920.843,0.000295731452034,3.02850766348e-05,3.64477128537,4.19244121667e-05,9.5533282034e-05,3.03472001812e-19,6.30169716445e-08,6.44784825362e-09,0.000801142191994,8.82886808814e-09,2.03368671931e-08
53622,0.00023010772298,312458624.547,0.000296035251103,3.03195942648e-05,3.64520229595,4.19721592884e-05,9.56123556433e-05,2.93825160929e-19,6.30413025529e-08,6.45216092104e-09,0.000801951715139,8.82936671241e-09,2.03380798945e-08
53623,0.000234235240262,305317695.868,0.000290422118331,2.97511333384e-05,3.57532538758,4.117507504e-05,9.37820234223e-05,2.93685633515e-19,6.30601800424e-08,6.45606199544e-09,0.00080313501064,8.82749535771e-09,2.03373442762e-08
53624,0.000238287021012,293716659.352,0.000294731120349,3.01939328712e-05,3.6208112707,4.180512437e-05,9.51566205368e-05,2.89733276969e-19,6.30832281826e-08,6.46006418124e-09,0.000803323817265,8.82988350466e-09,2.03383820874e-08
53625,0.000242288066421,292122777.885,0.000287436091813,2.94527797195e-05,3.5327068202,4.0762681211e-05,9.27864118565e-05,2.92722046743e-19,6.31020119677e-08,6.46389399785e-09,0.000804755100125,8.82717166239e-09,2.03376697349e-08
53626,0.00024626479978,291216368.019,0.000288198990794,2.95348830603e-05,3.53931928873,4.0874895454e-05,9.30156450552e-05,2.92036662172e-19,6.31294166324e-08,6.46843579105e-09,0.000805583004574,8.82820281473e-09,2.0339961977e-08
53627,0.000250193128985,288281248.156,0.000284505612966,2.91617770012e-05,3.49253403351,4.03519220541e-05,9.1807680299e-05,2.92689663883e-19,6.32151512447e-08,6.4787720424e-09,0.000807573786557,8.83649269985e-09,2.03616339767e-08
53628,0.00025414578321,280812510.238,0.000283181243491,2.90290365099e-05,3.47559044495,4.01623335683e-05,9.13654178965e-05,2.8358612553e-19,6.32356658108e-08,6.4823559002e-09,0.000808397709385,8.83680712626e-09,2.03620702523e-08
53629,0.000258060609145,274941624.804,0.000283723177849,2.90853120302e-05,3.47907150532,4.02447184358e-05,9.15265185093e-05,2.80340422897e-19,6.32580231439e-08,6.48595116265e-09,0.000808955188596,8.83832541821e-09,2.0363298515e-08
53630,0.000262715466743,272864994.545,0.000282306419491,2.89442119429e-05,3.45968700901,4.00463913585e-05,9.10531783871e-05,2.80238942906e-19,6.3281174846e-08,6.49035833562e-09,0.000809633988071,8.83936483793e-09,2.03632437327e-08
53631,0.000267261182796,269334879.355,0.000283980368753,2.91176495165e-05,3.47624425303,4.02916347463e-05,9.15773815027e-05,2.77351101854e-19,6.33110904421e-08,6.49524303368e-09,0.000810136006411,8.84225761812e-09,2.03656239688e-08
53632,0.000271738530362,251741095.412,0.000281308872461,2.88465478834e-05,3.43850460713,3.9928939916e-05,9.07081191498e-05,2.72501926341e-19,6.3328600764e-08,6.49876070935e-09,0.000810488755508,8.84364407476e-09,2.03646414811e-08
53633,0.000276152240875,250614601.121,0.000277753761067,2.84871750507e-05,3.39519459603,3.94209976274e-05,8.95460414676e-05,2.72188307629e-19,6.33508089624e-08,6.50306808895e-09,0.000811684492264,8.84277072441e-09,2.03640026662e-08
53634,0.000280484902283,253102751.916,0.000275614351386,2.82722236141e-05,3.36814901793,3.91155064965e-05,8.88382993402e-05,2.73289835728e-19,6.34331653294e-08,6.51324806434e-09,0.000813655722061,8.85072711801e-09,2.03831942814e-08
53635,0.000284826826129,249028065.543,0.000276467738591,2.83623747258e-05,3.37541041127,3.92424137878e-05,8.90977386059e-05,2.6803074493e-19,6.34575058399e-08,6.51750285489e-09,0.000814593213948,8.85142807875e-09,2.03834448319e-08
53636,0.00028913021408,249226604.939,0.000272679031583,2.79784904028e-05,3.32885047659,3.87039342441e-05,8.78621733731e-05,2.69334539488e-19,6.34784463052e-08,6.52152794026e-09,0.000815858721381,8.85049324126e-09,2.03822975735e-08
