# Model #, volume (Rsun^3), max_temp (K),[Density: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96],[Massf: Neutron-1,Ne-22,Mg-25,Zr-94,Zr-96]
58500,2.11072891111e-05,146111489.566,4.65794297194e-21,372.047970088,18.4913119986,0.0391857959755,0.000360383021355,7.61892638682e-25,0.0147222155668,0.000674229159277,2.51637889536e-06,1.70572925211e-08
58501,2.11072891111e-05,146111489.566,4.65794297194e-21,372.047970088,18.4913119986,0.0391857959755,0.000360383021355,7.61892638682e-25,0.0147222155668,0.000674229159277,2.51637889536e-06,1.70572925211e-08
58502,2.10722282385e-05,146110132.146,4.65711752585e-21,371.841296532,18.4814899199,0.039175000027,0.000360191792672,7.61225978496e-25,0.0147222155284,0.000674229170721,2.51637892828e-06,1.70572878269e-08
58503,2.10390414209e-05,146108545.566,4.65624728728e-21,371.635653879,18.4717171043,0.0391642902519,0.000360001526376,7.6053614178e-25,0.0147222154899,0.000674229181128,2.51637896056e-06,1.70572832684e-08
58504,2.10075789039e-05,146106624.75,4.65441886581e-21,371.428910788,18.4618922777,0.0391536880912,0.000359810611783,7.5988150827e-25,0.0147222153493,0.000674228962187,2.51637901832e-06,1.70572627213e-08
58505,2.09780221616e-05,146104608.294,4.6597202415e-21,371.227467649,18.4523196652,0.0391432929185,0.000359624283792,7.59314450728e-25,0.0147222153171,0.000674228970101,2.51637904763e-06,1.70572584374e-08
58506,2.09500886063e-05,146192081.379,4.6589930279e-21,371.025736737,18.4427244924,0.039132964286,0.000359437327356,7.58753123467e-25,0.0147222146472,0.000674228383711,2.51637913928e-06,1.70572153949e-08
58507,2.09239892487e-05,146379430.569,4.6632702808e-21,370.829430257,18.4333963992,0.0391228273159,0.000359255907803,7.58271080757e-25,0.0147222144437,0.00067422823626,2.51637918467e-06,1.70572008127e-08
58508,2.08994922229e-05,146566945.723,4.66667469984e-21,370.633838475,18.4241025246,0.0391128386631,0.000359075178127,7.5772669392e-25,0.0147222142392,0.000674228129925,2.51637922373e-06,1.70571896767e-08
58509,2.08764297496e-05,146754028.545,4.66895943993e-21,370.436830674,18.4147419638,0.0391029902856,0.0003588932352,7.57138398381e-25,0.0147222137117,0.000674227838598,2.51637928217e-06,1.70571662926e-08
58510,2.08547886686e-05,146937578.841,4.67388642189e-21,370.243539588,18.4055542437,0.0390932878309,0.000358714474381,7.56652551706e-25,0.0147222127092,0.000674227351871,2.516379359e-06,1.7057131305e-08
58511,2.08345348003e-05,147116653.318,4.68150484422e-21,370.05368621,18.3965251944,0.0390837758075,0.000358538520924,7.56273353503e-25,0.0147222112325,0.000674226658048,2.51637945619e-06,1.7057082564e-08
58512,2.08155801117e-05,147292210.61,4.68964205103e-21,369.865614948,18.3875814767,0.0390744238979,0.00035836417764,7.55911463486e-25,0.0147222096974,0.000674225965885,2.51637955434e-06,1.70570326163e-08
58513,2.07975407537e-05,147464495.178,4.69698742623e-21,369.682981925,18.3788881947,0.0390652204168,0.00035819428841,7.55519651862e-25,0.0147222068534,0.00067422480103,2.51637970033e-06,1.70569530581e-08
58514,2.07807636103e-05,147631533.808,4.70910331817e-21,369.506874182,18.3705023275,0.0390561964172,0.000358030246241,7.55324976948e-25,0.0147222037253,0.000674223578567,2.51637985276e-06,1.70568695823e-08
58515,2.07653662231e-05,147794338.033,4.72233382906e-21,369.332232526,18.3621981327,0.0390474098329,0.000357868321031,7.5516902299e-25,0.014722202244,0.000674223030848,2.51637993194e-06,1.70568308682e-08
58516,2.07509494648e-05,147957768.486,4.72906388177e-21,369.157143693,18.3538780091,0.0390387593741,0.000357706223854,7.54721567212e-25,0.0147222011297,0.000674222658779,2.51637999211e-06,1.70568041201e-08
58517,2.07372049297e-05,148122624.174,4.73260981834e-21,368.980984351,18.3454959331,0.0390301289556,0.000357542419262,7.54136620143e-25,0.0147221978608,0.000674221607615,2.51638011997e-06,1.70567345504e-08
58518,2.07241647369e-05,148284284.395,4.74017855375e-21,368.80623234,18.3371582848,0.0390215702355,0.000357378388246,7.53721202543e-25,0.0147221904019,0.000674219259122,2.51638038166e-06,1.70565825681e-08
