# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53562,4.73496851183e-05,111275128.141,0.000502338761544,5.00418960688e-05,5.69022006504,7.2046965476e-05,0.000162166250672,1.67940252651e-20,5.96332119393e-08,5.90926542413e-09,0.00066074604597,8.51029349931e-09,1.91563170034e-08
53563,4.82103385872e-05,76318759.2975,0.000501039232525,4.99034492719e-05,5.67498785113,7.18600003043e-05,0.000161748454047,1.0971177615e-20,5.96923787551e-08,5.91492477789e-09,0.000661600987322,8.51930174688e-09,1.91769861235e-08
53564,4.90892081996e-05,109560375.188,0.000499010471098,4.96949393866e-05,5.65174847307,7.15668537181e-05,0.000161093812759,1.62199569853e-20,5.97349395849e-08,5.91888732112e-09,0.000662239188926,8.52568080263e-09,1.91919089925e-08
53565,4.99862476466e-05,130775069.789,0.000497162229467,4.9507519312e-05,5.63104443602,7.13002567607e-05,0.000160499208331,1.9246946359e-20,5.97801858348e-08,5.92329852354e-09,0.000662953336994,8.53253439728e-09,1.92079566887e-08
53566,5.10892308141e-05,78923133.4705,0.000491254335833,4.89065757849e-05,5.56327805385,7.04519138275e-05,0.00015859313887,1.33309814864e-20,5.98014155825e-08,5.92425074283e-09,0.000663225428834,8.53569801693e-09,1.92156762743e-08
53567,5.22323985647e-05,93550266.8987,0.00048507425765,4.82941187485e-05,5.49501436758,6.9566377526e-05,0.000156603875375,1.55460039092e-20,5.97900683103e-08,5.92300733027e-09,0.000663239919132,8.53403959395e-09,1.92125534435e-08
53568,5.36914956432e-05,292776207.149,0.000475470860469,4.73383239217e-05,5.38629321662,6.81804702012e-05,0.000153508578126,5.90007401721e-20,6.01086667658e-08,5.95132775466e-09,0.000667265879225,8.58149979984e-09,1.93234259036e-08
53569,5.51898980716e-05,386682750.807,0.000466747833262,4.65121695611e-05,5.29402934786,6.69271219184e-05,0.000150708964634,6.59357458686e-20,6.0160831044e-08,5.9578969333e-09,0.000668523961982,8.58994636775e-09,1.93454120259e-08
53570,5.67128629519e-05,284614954.611,0.000463313012894,4.61614565977e-05,5.25542949351,6.64330626586e-05,0.000149608778321,4.58590889121e-20,6.02288769598e-08,5.96415252041e-09,0.000669696123472,8.60061708216e-09,1.93712243188e-08
53571,5.85618067614e-05,188178168.309,0.000444810283611,4.43298306504e-05,5.05003496038,6.37839558681e-05,0.000143648231409,3.48826129075e-20,6.01632556071e-08,5.95704044122e-09,0.000669173433091,8.59100595804e-09,1.93510247934e-08
53572,6.0800835836e-05,280140387.649,0.000450201558652,4.48298310026e-05,5.10959549952,6.45526488777e-05,0.000145402705328,5.15246061549e-20,6.02887141416e-08,5.96730787045e-09,0.00067110561288,8.60983254216e-09,1.93963559014e-08
53573,6.33849855051e-05,427118923.326,0.000433913364244,4.32261487433e-05,4.93242249324,6.22215414957e-05,0.00014017919854,8.08669940829e-20,6.0258566076e-08,5.96402063234e-09,0.000671442877132,8.60557082214e-09,1.93911374774e-08
53574,6.62722747712e-05,373783376.46,0.000421324903145,4.19728893928e-05,4.79453853193,6.04187666027e-05,0.00013615121263,8.28856334668e-20,6.0465181545e-08,5.98148013551e-09,0.000674737750403,8.6371499496e-09,1.94688538276e-08
53575,6.93770296809e-05,325665953.358,0.000413846310137,4.12349510576e-05,4.7153555854,5.93483186559e-05,0.000133764531978,7.69645893465e-20,6.0670337632e-08,5.99951420188e-09,0.000678214254685,8.66864347539e-09,1.95454637707e-08
