# Model #, volume (Rsun^3),[Density: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130],[Massf: Neutron-1,Zr-94,Zr-96,Mg-25,Xe-128,Xe-130]
53621,0.000225658948781,326803030.228,0.000286900208146,2.92949610457e-05,3.52742573945,4.06383918418e-05,9.26735579955e-05,3.06711912785e-19,6.29775414391e-08,6.43876230788e-09,0.000800431425422,8.82015684241e-09,2.03235265028e-08
53622,0.000229898428586,315759210.872,0.000287354839559,2.93462497304e-05,3.52980808133,4.07080842335e-05,9.28012578675e-05,2.96928944466e-19,6.30025458783e-08,6.44321651021e-09,0.000801257007969,8.82075275355e-09,2.03248929365e-08
53623,0.000234025014156,308565725.4,0.000281672498858,2.87705376236e-05,3.45904712136,3.99010838424e-05,9.09483665362e-05,2.9680994557e-19,6.30213493202e-08,6.44709565012e-09,0.000802447964722,8.81880039845e-09,2.03240559674e-08
53624,0.000238075891199,296819271.182,0.000286138345226,2.92303613468e-05,3.50647935361,4.05539477485e-05,9.2373525138e-05,2.92793836764e-19,6.30449143807e-08,6.45120325604e-09,0.000802643604139,8.82127500397e-09,2.03251983205e-08
53625,0.000242076054208,295224939.337,0.000278768603255,2.8481516946e-05,3.41746192041,3.95007862623e-05,8.99790244918e-05,2.95830596616e-19,6.30636942017e-08,6.45502669432e-09,0.000804086474715,8.81848865412e-09,2.03244084003e-08
53626,0.0002460519218,294325413.697,0.000279540707048,2.8564492548e-05,3.42414579695,3.96143053815e-05,9.02110339379e-05,2.95154488611e-19,6.30911868981e-08,6.45956964226e-09,0.00080491964883,8.81948446422e-09,2.03266543243e-08
53627,0.00024997937772,291381022.014,0.000275793234089,2.81856379e-05,3.37665250787,3.90835667579e-05,8.89854062108e-05,2.95836862007e-19,6.31775693382e-08,6.46995347967e-09,0.000806927081835,8.82780099038e-09,2.03484639604e-08
53628,0.000253931188707,283810485.622,0.000274562084299,2.80633916573e-05,3.36094304944,3.89075384983e-05,8.85731841894e-05,2.86613733002e-19,6.31985704064e-08,6.47363836505e-09,0.000807764403876,8.82818063601e-09,2.03489986301e-08
53629,0.000257845189173,277815557.857,0.000275333000693,2.81451635539e-05,3.36741861113,3.90232525818e-05,8.88082982366e-05,2.83270808357e-19,6.32219369523e-08,6.47745345693e-09,0.000808340950235,8.82989514302e-09,2.03505130058e-08
53630,0.000262499077628,276192590.236,0.000272762104739,2.78863490766e-05,3.33477366993,3.8659128855e-05,8.79631059145e-05,2.83656488185e-19,6.32442820107e-08,6.48181807137e-09,0.000809130792223,8.83040898545e-09,2.03500714756e-08
53631,0.000267043854558,272579853.663,0.000274626269273,2.80805955525e-05,3.35374251311,3.89319909155e-05,8.85486600289e-05,2.80692678788e-19,6.32750025259e-08,6.48686451619e-09,0.000809644921581,8.83344451978e-09,2.03526390906e-08
53632,0.000271509917381,254816443.49,0.000271845187089,2.77975244023e-05,3.31452057038,3.85536292067e-05,8.76438430673e-05,2.75830917714e-19,6.3292222914e-08,6.49030818786e-09,0.000809995123674,8.83472486849e-09,2.03514633101e-08
53633,0.000275922694305,253697711.449,0.00026823206893,2.74320263276e-05,3.27047735275,3.80373157442e-05,8.64628283946e-05,2.75536843315e-19,6.33144485906e-08,6.49460913809e-09,0.000811202100555,8.83377807258e-09,2.0350723995e-08
53634,0.000280267252705,256205567.275,0.000266151195676,2.72237144315e-05,3.2441974352,3.77403500436e-05,8.57738367726e-05,2.76640146721e-19,6.33979419357e-08,6.50494354052e-09,0.000813199185683,8.84186350267e-09,2.03701973937e-08
53635,0.000284608326143,252070273.986,0.000267097409781,2.73239838629e-05,3.25261432168,3.78807367043e-05,8.60631088887e-05,2.7130511493e-19,6.34227027421e-08,6.5092792956e-09,0.000814149723848,8.84260396383e-09,2.03704963688e-08
53636,0.000288910879379,252298041.264,0.000263228029353,2.69314908608e-05,3.2050226198,3.73306382383e-05,8.48012899278e-05,2.7265380117e-19,6.344359491e-08,6.51328159558e-09,0.000815426923364,8.84157992802e-09,2.03692209883e-08
53637,0.000296886988442,251534774.209,0.000263150892876,2.69263514544e-05,3.20197917403,3.73244625493e-05,8.47636852381e-05,2.70678383137e-19,6.34403234517e-08,6.51494215759e-09,0.000815480889781,8.84020134853e-09,2.03601273814e-08
53638,0.000301942639622,241087057.226,0.000265274784282,2.71458750052e-05,3.2245530205,3.76337832816e-05,8.54377572831e-05,2.62649301667e-19,6.34641259343e-08,6.51891341823e-09,0.000815547842346,8.84397809529e-09,2.03612370701e-08
53639,0.000306885614827,233701057.455,0.000260284389652,2.66381307027e-05,3.16293264725,3.69262874361e-05,8.38179247156e-05,2.60635597397e-19,6.35007117974e-08,6.52466495338e-09,0.000816981300896,8.84541058609e-09,2.03646847637e-08
53640,0.000311780761615,233533183.791,0.000259345667945,2.65451390126e-05,3.15109773025,3.67919416696e-05,8.35018544788e-05,2.57398492289e-19,6.35240504775e-08,6.52873815537e-09,0.000817814640445,8.84659897972e-09,2.03645749939e-08
53641,0.000316605817483,227607909.564,0.00025609985655,2.62146954066e-05,3.11040453809,3.63340891249e-05,8.24474440808e-05,2.54347491547e-19,6.35426062479e-08,6.53215998932e-09,0.000818524881281,8.84737694938e-09,2.03633436272e-08
53642,0.000321371471338,228693665.76,0.000253639922846,2.59658240596e-05,3.07988471802,3.59849421166e-05,8.16420404276e-05,2.55914126439e-19,6.35662029654e-08,6.53649557628e-09,0.000820017535885,8.84635080077e-09,2.03621367025e-08
53643,0.000326104901899,227258120.986,0.000255907097486,2.61989690545e-05,3.10428578275,3.63155524629e-05,8.23650814478e-05,2.52035813997e-19,6.3589872283e-08,6.53985709144e-09,0.000820038424107,8.85063503103e-09,2.03641892963e-08
53644,0.000331729414648,231222959.702,0.000250729674987,2.56733175016e-05,3.04350126726,3.55719505518e-05,8.06800162381e-05,2.54069916314e-19,6.3617809298e-08,6.54521150663e-09,0.000821778911577,8.84955037762e-09,2.03625088489e-08
53645,0.000337224578204,231165637.34,0.000247140364724,2.53082596568e-05,2.99991841993,3.50616182947e-05,7.95134186833e-05,2.52988577406e-19,6.36446013043e-08,6.54981530157e-09,0.000822917204496,8.85055970681e-09,2.03624366083e-08
53646,0.000342621815247,217807274.721,0.000245961113259,2.51887891064e-05,2.98355849159,3.48997335352e-05,7.91281032038e-05,2.45223965482e-19,6.3666380305e-08,6.55338015445e-09,0.000823299400235,8.85320167324e-09,2.03627420228e-08
53647,0.000347927044856,222799062.527,0.000241195209681,2.47033902505e-05,2.92700127998,3.42182492478e-05,7.75812401813e-05,2.46896721497e-19,6.36944375671e-08,6.55809504489e-09,0.000824851048283,8.85312139024e-09,2.03624521964e-08
53648,0.000353178367366,224895106.464,0.000233625067263,2.39296838204e-05,2.83810330899,3.31349786435e-05,7.51350467556e-05,2.46181562157e-19,6.37120360001e-08,6.56118514136e-09,0.000825982167274,8.85286704996e-09,2.03604555334e-08
53649,0.00035835698544,231165025.71,0.000222183398955,2.27616935908e-05,2.70465853156,3.14935821135e-05,7.14359627902e-05,2.51513898061e-19,6.37371847998e-08,6.56621632665e-09,0.000828834756546,8.8479162092e-09,2.03564431546e-08
53650,0.000363506272453,239954853.706,0.000211214007088,2.16428826364e-05,2.57805830521,2.99153560568e-05,6.78854859495e-05,2.57916015343e-19,6.37613968539e-08,6.57139403269e-09,0.000832068038127,8.84148919761e-09,2.03508451895e-08
53651,0.000369626572492,243368634.688,0.0001993293199,2.0430010039e-05,2.44051750605,2.82069078734e-05,6.40404387275e-05,2.60952564236e-19,6.37910733221e-08,6.57728154906e-09,0.000835026469012,8.83714070567e-09,2.03465112671e-08
53652,0.000375606218129,232284720.692,0.000190247468105,1.95030190833e-05,2.33400891378,2.69051458285e-05,6.11034658745e-05,2.57102953692e-19,6.38146263499e-08,6.58221583547e-09,0.000837367415617,8.83354711349e-09,2.03415046215e-08
53653,0.000381458757182,238485770.083,0.000178882226311,1.83421144121e-05,2.20251446258,2.52722306284e-05,5.7429508238e-05,2.62006143781e-19,6.38409003738e-08,6.58743997521e-09,0.000840451097238,8.82839154307e-09,2.03362592967e-08
53654,0.00038722863727,229730934.378,0.000170701198028,1.75061543453e-05,2.10626158745,2.41013230717e-05,5.47864400305e-05,2.58763491024e-19,6.3863210714e-08,6.5918472852e-09,0.000842696433824,8.82513360441e-09,2.03315184411e-08
53655,0.00039291709928,238125400.17,0.00016015524601,1.6430323697e-05,1.98554304681,2.25814634488e-05,5.13706615134e-05,2.6539897944e-19,6.38925849018e-08,6.59795114478e-09,0.000846687177028,8.81745788454e-09,2.03240081138e-08
