# model #, time_scale (hrs)
53222,0
53223,0
53224,0
53225,0
53226,0
53227,0
53228,0
53229,0
53230,0
53231,0
53232,0
53233,0
53234,0
53235,0
53236,0
53237,0
53238,0
53239,0
53240,0
53241,inf
53242,0
53243,inf
53244,inf
53245,inf
53246,inf
53247,inf
53248,inf
53249,inf
53250,inf
53251,3.49129464102
53252,3.49064331107
53253,3.23240771968
53254,3.23170137707
53255,3.2774221066
53256,5.92399363689
53257,6.04426039331
53258,3.56002650655
53259,8.08483224648
53260,8.08319803387
53261,8.31498120134
53262,3.40649945627
53263,3.48468518433
53264,3.48393489461
53265,3.59743743509
53266,3.61042649732
53267,3.64119618237
53268,3.64038655493
53269,3.65731307231
53270,3.7053151791
53271,7.33801761077
53272,7.38873825718
53273,7.39165102314
53274,7.44435985898
53275,7.44200149411
53276,5.02700792478
53277,5.09536509211
53278,5.11928513948
53279,5.11748683648
53280,5.12517563182
53281,5.13290649678
53282,5.20010089913
53283,5.22421900698
53284,5.28662450586
53285,4.39644782852
53286,4.39479889026
53287,4.45769640524
53288,4.45614356405
53289,4.5354442057
53290,4.53381934539
53291,2.7694917858
53292,13.5349203265
53293,13.5753457012
53294,5.08287805111
53295,5.07502342115
53296,5.07771108596
53297,5.13752281553
53298,5.16854469089
53299,5.16653076626
53300,3.53236007914
53301,3.52927789981
53302,3.53952803946
53303,3.46466356407
53304,3.4910677869
53305,3.5469991718
53306,6.12099612929
53307,9.03677031648
53308,4.60913216147
53309,4.66883910426
53310,9.27337183207
53311,10.788131201
53312,10.940117532
53313,1.89663234103
53314,1.97237448733
53315,4.20089759534
53316,2.78677380139
53317,1.23441730903
53318,2.78032635301
53319,5.3619434734
53320,2.7428202766
53321,4.86092616821
53322,2.68886938935
53323,2.73685065552
53324,5.11395749265
53325,5.17706786811
53326,5.08774897257
53327,6.72690398541
53328,6.67526623229
53329,6.76770450598
53330,6.71381375065
53331,13.173607758
53332,1.47492105273
53333,1.47149412586
53334,0.654277594397
53335,0.378929900641
53336,0.666012870474
53337,0.999171948851
53338,0.990402993557
53339,2.2481709726
53340,2.14975492252
53341,2.15464726081
53342,3.82185647471
53343,0.967784290561
53344,1.32474151765
53345,1.32390309717
53346,1.32308178273
53347,1.32738020253
53348,1.32115438093
53349,1.32538124475
53350,6.72999230306
53351,15.1783704044
53352,0.503601690089
53353,1.70780799247
53354,1.3559146692
53355,0.32414282053
53356,0.575881985655
53357,0.57711164765
53358,1.29797888165
53359,0.604700088962
53360,1.2476888562
53361,2.21503528448
53362,2.20535536051
53363,1.24135535622
53364,1.25456631049
53365,1.25365377345
53366,2.22700927034
53367,2.2237011213
53368,5.00391881563
53369,4.99999726131
53370,4.99593258637
53371,0.120403689372
53372,0.453470782835
53373,0.114717826444
53374,0.115690829283
53375,0.258125345587
53376,0.376150419824
53377,0.375779833754
53378,0.992278289222
53379,1.00339762388
53380,0.991905859202
53381,0.997759150491
53382,0.996836312696
53383,1.80025447619
53384,1.86145110084
53385,1.02258570287
53386,1.02706867154
53387,3.17697180582
53388,5.83210666461
53389,0.766064306255
53390,0.565048567608
53391,0.707443130811
53392,0.449765846953
53393,0.455711955803
53394,0.451364780109
53395,0.746982294144
53396,0.746108010244
53397,0.74774583571
53398,0.751654824104
53399,0.763110683399
53400,0.584652454408
53401,0.597349259471
53402,0.755590363967
53403,0.778094542766
53404,0.834207713037
53405,0.771637146686
53406,0.756695352977
53407,0.788230219888
53408,0.755169367667
53409,0.75418794237
53410,0.753333557438
53411,0.148111479075
53412,0.148172416459
53413,0.149771730335
53414,0.149596419608
53415,0.152532406937
53416,0.149783344749
53417,0.149604106262
53418,0.149978759945
53419,0.150453918945
53420,0.265975842034
53421,0.265639208081
53422,0.268842565296
53423,0.269698237422
53424,0.272147804821
53425,0.520836796314
53426,1.04764531612
53427,0.644812764476
53428,0.941143925831
53429,0.256033128618
53430,2.27487747144
53431,0.792006021297
53432,1.33603176249
53433,2.07194578726
53434,2.36999267904
53435,6.61958941255
53436,6.60925614072
53437,1.01514119674
53438,2.5954676481
53439,0.143238580104
53440,0.622700013681
53441,0.585359318182
